Date,Price,Open,High,Low,Vol.,Change %
17-Oct-12,"5,660.25","5,681.10","5,684.35","5,633.90",123.97M,0.22%
18-Oct-12,"5,718.70","5,675.30","5,722.50","5,650.55",144.10M,1.03%
19-Oct-12,"5,684.25","5,703.30","5,711.70","5,660.00",124.26M,-0.60%
22-Oct-12,"5,717.15","5,667.60","5,721.55","5,658.05",103.37M,0.58%
23-Oct-12,"5,691.40","5,715.65","5,720.80","5,681.45",81.50M,-0.45%
25-Oct-12,"5,705.30","5,688.80","5,718.75","5,685.70",158.34M,0.24%
26-Oct-12,"5,664.30","5,683.55","5,697.20","5,641.75",101.66M,-0.72%
29-Oct-12,"5,665.60","5,665.20","5,698.30","5,645.10",93.56M,0.02%
30-Oct-12,"5,597.90","5,656.35","5,689.90","5,589.90",116.68M,-1.19%
31-Oct-12,"5,619.70","5,596.75","5,624.40","5,583.05",112.08M,0.39%
1-Nov-12,"5,645.05","5,609.85","5,649.75","5,601.95",107.39M,0.45%
2-Nov-12,"5,697.70","5,696.35","5,711.30","5,682.55",111.16M,0.93%
5-Nov-12,"5,704.20","5,693.05","5,709.20","5,679.50",74.83M,0.11%
6-Nov-12,"5,724.40","5,694.10","5,730.80","5,693.65",115.02M,0.35%
7-Nov-12,"5,760.10","5,718.60","5,777.30","5,711.40",133.74M,0.62%
8-Nov-12,"5,738.75","5,709.00","5,744.50","5,693.95",117.59M,-0.37%
9-Nov-12,"5,686.25","5,731.10","5,751.70","5,677.75",98.76M,-0.91%
12-Nov-12,"5,683.70","5,688.45","5,718.90","5,665.75",92.70M,-0.04%
13-Nov-12,"5,666.95","5,689.70","5,698.25","5,660.35",16.52M,-0.29%
15-Nov-12,"5,631.00","5,650.35","5,651.65","5,603.55",133.98M,-0.63%
16-Nov-12,"5,574.05","5,624.80","5,650.15","5,559.80",121.90M,-1.01%
19-Nov-12,"5,571.40","5,577.30","5,592.75","5,549.25",106.99M,-0.05%
20-Nov-12,"5,571.55","5,604.80","5,613.70","5,548.35",107.48M,0.00%
21-Nov-12,"5,614.80","5,582.50","5,620.20","5,561.40",105.15M,0.78%
22-Nov-12,"5,627.75","5,628.60","5,643.35","5,608.00",94.06M,0.23%
23-Nov-12,"5,626.60","5,635.45","5,637.75","5,593.55",85.08M,-0.02%
26-Nov-12,"5,635.90","5,648.65","5,649.20","5,623.45",79.29M,0.17%
27-Nov-12,"5,727.45","5,658.50","5,733.20","5,658.00",134.41M,1.62%
29-Nov-12,"5,825.00","5,736.70","5,833.50","5,736.10",207.30M,1.70%
30-Nov-12,"5,879.85","5,836.00","5,885.25","5,827.85",257.05M,0.94%
3-Dec-12,"5,870.95","5,878.25","5,899.15","5,854.60",113.42M,-0.15%
